,Latitude,Longitude,region,mean_TreeFrac
0,45.698693877701785,7.5,EU,44.55441
1,45.698693877701785,9.375,EU,35.29522
2,45.698693877701785,11.25,EU,23.448261
3,45.698693877701785,13.125,EU,26.474909
4,45.698693877701785,15.0,EU,23.296375
5,45.698693877701785,16.875,EU,13.423655
6,45.698693877701785,18.75,EU,22.72743
7,45.698693877701785,20.625,EU,20.692694
8,45.698693877701785,22.5,EU,29.278109
9,45.698693877701785,24.375,EU,25.541195
10,45.698693877701785,26.25,EU,22.310959
11,45.698693877701785,28.125,EU,17.506348
12,45.698693877701785,30.0,EU,14.570625
13,47.56392574797867,7.5,EU,28.259422
14,47.56392574797867,9.375,EU,27.553158
15,47.56392574797867,11.25,EU,31.83058
16,47.56392574797867,13.125,EU,38.785683
17,47.56392574797867,15.0,EU,50.892464
18,47.56392574797867,16.875,EU,22.370127
19,47.56392574797867,18.75,EU,24.562548
20,47.56392574797867,20.625,EU,21.118515
21,47.56392574797867,22.5,EU,24.900167
22,47.56392574797867,24.375,EU,23.453718
23,47.56392574797867,26.25,EU,22.991692
24,47.56392574797867,28.125,EU,16.478859
25,47.56392574797867,30.0,EU,17.45899
26,49.42915369712305,5.625,EU,10.348593
27,49.42915369712305,7.5,EU,22.771015
28,49.42915369712305,9.375,EU,14.716336
29,49.42915369712305,11.25,EU,19.185213
30,49.42915369712305,13.125,EU,12.324334
31,49.42915369712305,15.0,EU,12.95957
32,49.42915369712305,16.875,EU,18.419865
33,49.42915369712305,18.75,EU,47.25273
34,49.42915369712305,20.625,EU,32.574646
35,49.42915369712305,22.5,EU,25.146297
36,49.42915369712305,24.375,EU,32.02044
37,49.42915369712305,26.25,EU,19.710264
38,49.42915369712305,28.125,EU,23.893576
39,49.42915369712305,30.0,EU,24.651024
40,51.29437713895115,5.625,EU,13.594703
41,51.29437713895115,7.5,EU,23.772203
42,51.29437713895115,9.375,EU,24.918215
43,51.29437713895115,11.25,EU,20.775948
44,51.29437713895115,13.125,EU,13.985118
45,51.29437713895115,15.0,EU,29.004879
46,51.29437713895115,16.875,EU,30.441456
47,51.29437713895115,18.75,EU,30.319824
48,51.29437713895115,20.625,EU,25.392694
49,51.29437713895115,22.5,EU,24.434324
50,51.29437713895115,24.375,EU,18.79363
51,51.29437713895115,26.25,EU,18.688686
52,51.29437713895115,28.125,EU,22.18421
53,51.29437713895115,30.0,EU,21.381771
54,53.15959537001968,9.375,EU,10.681969
55,53.15959537001968,13.125,EU,17.26977
56,53.15959537001968,15.0,EU,31.826273
57,53.15959537001968,16.875,EU,27.142443
58,53.15959537001968,18.75,EU,30.778591
59,53.15959537001968,20.625,EU,22.319685
60,53.15959537001968,22.5,EU,22.248922
61,53.15959537001968,24.375,EU,28.318485
62,53.15959537001968,26.25,EU,50.348545
63,53.15959537001968,28.125,EU,41.657677
64,53.15959537001968,30.0,EU,29.174036
65,55.02480753831166,9.375,EU,29.311281
66,55.02480753831166,11.25,EU,30.651392
67,55.02480753831166,20.625,EU,36.20405
68,55.02480753831166,22.5,EU,27.645262
69,55.02480753831166,24.375,EU,41.853165
70,55.02480753831166,26.25,EU,36.425552
71,55.02480753831166,28.125,EU,37.723076
72,55.02480753831166,30.0,EU,38.269352
73,56.89001260135711,9.375,EU,35.966515
74,56.89001260135711,13.125,EU,38.798676
75,56.89001260135711,15.0,EU,22.40282
76,56.89001260135711,22.5,EU,50.2215
77,56.89001260135711,24.375,EU,52.206467
78,56.89001260135711,26.25,EU,31.939617
79,56.89001260135711,28.125,EU,32.217346
80,56.89001260135711,30.0,EU,25.519976
81,58.75520926937993,7.5,EU,46.48109
82,58.75520926937993,9.375,EU,52.50245
83,58.75520926937993,11.25,EU,31.06407
84,58.75520926937993,13.125,EU,50.749718
85,58.75520926937993,15.0,EU,28.70615
86,58.75520926937993,16.875,EU,31.089037
87,58.75520926937993,26.25,EU,30.036118
88,58.75520926937993,28.125,EU,30.346865
89,58.75520926937993,30.0,EU,22.8955
90,60.62039592682648,5.625,EU,50.8403
91,60.62039592682648,9.375,EU,62.46682
92,60.62039592682648,11.25,EU,33.19759
93,60.62039592682648,13.125,EU,26.09768
94,60.62039592682648,15.0,EU,28.394472
95,60.62039592682648,16.875,EU,30.592104
96,60.62039592682648,22.5,EU,33.66344
97,60.62039592682648,24.375,EU,54.411114
98,60.62039592682648,26.25,EU,44.101395
99,60.62039592682648,28.125,EU,32.681854
100,60.62039592682648,30.0,EU,32.253956
101,62.48557052203639,7.5,EU,38.362423
102,62.48557052203639,9.375,EU,32.224503
103,62.48557052203639,11.25,EU,42.505318
104,62.48557052203639,13.125,EU,42.1178
105,62.48557052203639,15.0,EU,29.59963
106,62.48557052203639,16.875,EU,23.208965
107,62.48557052203639,22.5,EU,31.03953
108,62.48557052203639,24.375,EU,24.97526
109,62.48557052203639,26.25,EU,27.434425
110,62.48557052203639,28.125,EU,27.336607
111,62.48557052203639,30.0,EU,28.234346
112,36.37249059281224,266.25,NA,69.13759
113,36.37249059281224,268.125,NA,58.25988
114,36.37249059281224,270.0,NA,58.18637
115,36.37249059281224,271.875,NA,60.171753
116,36.37249059281224,273.75,NA,23.217789
117,36.37249059281224,275.625,NA,17.630957
118,36.37249059281224,277.5,NA,18.004005
119,36.37249059281224,279.375,NA,17.954203
120,36.37249059281224,281.25,NA,24.6591
121,36.37249059281224,283.125,NA,20.683294
122,38.23773599056483,266.25,NA,66.3875
123,38.23773599056483,268.125,NA,55.11852
124,38.23773599056483,270.0,NA,54.27167
125,38.23773599056483,271.875,NA,53.551006
126,38.23773599056483,273.75,NA,57.584476
127,38.23773599056483,275.625,NA,53.615868
128,38.23773599056483,277.5,NA,23.711145
129,38.23773599056483,279.375,NA,13.356666
130,38.23773599056483,281.25,NA,19.243494
131,38.23773599056483,283.125,NA,26.392538
132,40.1029793042494,266.25,NA,49.80544
133,40.1029793042494,268.125,NA,46.038498
134,40.1029793042494,270.0,NA,40.594097
135,40.1029793042494,271.875,NA,44.362507
136,40.1029793042494,273.75,NA,42.412205
137,40.1029793042494,275.625,NA,38.152683
138,40.1029793042494,277.5,NA,47.11224
139,40.1029793042494,279.375,NA,38.779903
140,40.1029793042494,281.25,NA,17.99651
141,40.1029793042494,283.125,NA,29.09032
142,40.1029793042494,285.0,NA,42.367233
143,41.96822026907538,266.25,NA,43.053177
144,41.96822026907538,268.125,NA,41.042313
145,41.96822026907538,270.0,NA,38.444317
146,41.96822026907538,271.875,NA,35.579666
147,41.96822026907538,273.75,NA,32.791073
148,41.96822026907538,275.625,NA,37.35031
149,41.96822026907538,277.5,NA,34.928005
150,41.96822026907538,279.375,NA,44.599495
151,41.96822026907538,281.25,NA,52.461468
152,41.96822026907538,283.125,NA,47.84176
153,41.96822026907538,285.0,NA,55.3186
154,41.96822026907538,286.875,NA,44.845787
155,41.96822026907538,288.75,NA,45.80369
156,43.83345857895126,266.25,NA,39.132393
157,43.83345857895126,268.125,NA,42.436913
158,43.83345857895126,270.0,NA,44.35462
159,43.83345857895126,271.875,NA,35.015293
160,43.83345857895126,273.75,NA,58.24043
161,43.83345857895126,275.625,NA,60.831528
162,43.83345857895126,279.375,NA,53.664433
163,43.83345857895126,281.25,NA,53.432495
164,43.83345857895126,283.125,NA,44.25407
165,43.83345857895126,285.0,NA,36.265
166,43.83345857895126,286.875,NA,27.779184
167,43.83345857895126,288.75,NA,22.496109
168,43.83345857895126,290.625,NA,51.350113
169,45.698693877701785,266.25,NA,33.438244
170,45.698693877701785,268.125,NA,41.634327
171,45.698693877701785,270.0,NA,65.28432
172,45.698693877701785,271.875,NA,45.20732
173,45.698693877701785,275.625,NA,68.40564
174,45.698693877701785,279.375,NA,66.82915
175,45.698693877701785,281.25,NA,34.30971
176,45.698693877701785,283.125,NA,28.99072
177,45.698693877701785,285.0,NA,71.12375
178,45.698693877701785,286.875,NA,66.06422
179,45.698693877701785,288.75,NA,51.66587
180,45.698693877701785,290.625,NA,36.61769
181,45.698693877701785,292.5,NA,42.129124
182,45.698693877701785,294.375,NA,49.23092
183,45.698693877701785,296.25,NA,41.837727
184,45.698693877701785,298.125,NA,32.3709
185,47.56392574797867,266.25,NA,41.02656
186,47.56392574797867,268.125,NA,49.22516
187,47.56392574797867,275.625,NA,69.80633
188,47.56392574797867,277.5,NA,51.506474
189,47.56392574797867,279.375,NA,36.540176
190,47.56392574797867,281.25,NA,42.16642
191,47.56392574797867,283.125,NA,62.255978
192,47.56392574797867,285.0,NA,75.104
193,47.56392574797867,286.875,NA,61.502453
194,47.56392574797867,288.75,NA,60.7693
195,47.56392574797867,290.625,NA,49.39253
196,47.56392574797867,292.5,NA,58.883827
197,47.56392574797867,294.375,NA,49.039776
198,49.42915369712305,266.25,NA,65.95561
199,49.42915369712305,268.125,NA,74.40392
200,49.42915369712305,270.0,NA,48.208256
201,49.42915369712305,271.875,NA,71.49577
202,49.42915369712305,273.75,NA,65.7197
203,49.42915369712305,275.625,NA,76.792625
204,49.42915369712305,277.5,NA,58.768337
205,49.42915369712305,279.375,NA,38.22083
206,49.42915369712305,281.25,NA,51.348305
207,49.42915369712305,283.125,NA,71.782265
208,49.42915369712305,285.0,NA,77.76626
209,49.42915369712305,286.875,NA,68.518
210,49.42915369712305,288.75,NA,69.37811
211,49.42915369712305,290.625,NA,51.9505
212,49.42915369712305,292.5,NA,57.304836
213,49.42915369712305,294.375,NA,54.658066
